uidp_original,occupation,occ_name,In-detail Category (edited),Broad Category
L0517133334_7FCC,Employed (full-time),Call Sentar Work,Office staff (low- medium),Technical/White Collar (Medium)
L0520084537_4282,Employed (full-time),Camercial Department,Office staff (low- medium),Technical/White Collar (Medium)
L0508113321_C2BD,DK/NR,Camision Egency,,
L0422104610_7E7A,Employed (full-time),Canjecion Pilad Work,,
L0504122922_910E,Self-employed,Canstraction,Building/Construction,Miscellaneous Shop Owner (medium)
L0424172802_F574,Employed (full-time),Cansultation,Office staff (low- medium),Technical/White Collar (Medium)
L0502172915_3EF4,Self-employed,Canteen,Hotel/food Industry,Contractor
L0418152354,Employed (full-time),Cap Jamni Worker,,
L0410125804,Self-employed,Car Own Busenes,Driver/Delivery,Blue Collar - mobile
L0424173738_33F9,Employed (full-time),Car Accassories,,
L0516084740_2C6A,Employed (full-time),Car Drivare,Driver/Delivery,Blue Collar - mobile
L0424151509_2800,Employed (full-time),Car Driver,Driver/Delivery,Blue Collar - mobile
L0424183239_E685,Employed (full-time),Car Driver,Driver/Delivery,Blue Collar - mobile
L0421172248,Employed (full-time),Car Driver,Driver/Delivery,Blue Collar - mobile
L0511191305_C8AF,Self-employed,Car Service Center,,
L0414113139,Employed (full-time),Car And Curency,,
L0408131927,Self-employed,Car Consultants,Office staff (low- medium),Blue Collar - fixed
L0220102705,Self-employed,Car Deelar,Business Owner,Miscellaneous Shop Owner (medium)
L0508102238_EE9A,Employed (full-time),Car Draivare,Driver/Delivery,Blue Collar - mobile
L0520095354_DF9A,Employed (full-time),Car Drivar,Driver/Delivery,Blue Collar - mobile
L0523095238_7B4D,Employed (full-time),Car Drivar,Driver/Delivery,Blue Collar - mobile
L0424172122_5B36,Employed (full-time),Car Driver,Driver/Delivery,Blue Collar - mobile
L0408151946,Employed (full-time),Car Driver,Driver/Delivery,Blue Collar - mobile
L0517165723_CFD6,Self-employed,Car Intriyat Decoration,,
L0208115851,Self-employed,Car Marteking,Office staff (low- medium),Technical/White Collar (Medium)
L0511174541_DD13,Employed part-time,Car Shawroom,,
L0418162850,Employed (full-time),Car Show Room,,
L0502131402_640A,Employed (full-time),Car Washar,,
L0425091122_B3E9,Employed (full-time),Carfantar,Manual/Non-Office workers,Blue Collar - mobile
L0426100710_B09A,Employed (full-time),Caropentar,Manual/Non-Office workers,Blue Collar - mobile
L0504203023_5C5C,Self-employed,Carpainter,Manual/Non-Office workers,Blue Collar - mobile
L0420084147,Self-employed,Carpentar,Manual/Non-Office workers,Blue Collar - mobile
L0422090804_FD57,Employed (full-time),Carpentar Work,Manual/Non-Office workers,Blue Collar - mobile
L0418154134,Self-employed,Carpenter,Manual/Non-Office workers,Blue Collar - mobile
L0304183944,Self-employed,Carpenter,Manual/Non-Office workers,Blue Collar - mobile
L0426143204_CA92,Self-employed,Carpenter,Manual/Non-Office workers,Blue Collar - mobile
L0411184439,Employed (full-time),Carpenter,Manual/Non-Office workers,Blue Collar - mobile
L0425114622_66FF,Employed (full-time),Carted Account,Accountant,Specialized professions
L0414100359,Employed (full-time),Carted Accountant,Accountant,Specialized professions
L0419083901,Employed (full-time),Cashiyar,Cashier,Blue Collar - fixed
L0417103707,Employed (full-time),Cashiyar,Cashier,Blue Collar - fixed
L0518161917_FD6F,Employed (full-time),Casier,Cashier,Blue Collar - fixed
L0425175751_E2A1,Employed (full-time),Casier,Cashier,Blue Collar - fixed
L0429170406_1A44,Employed (full-time),Casier,Cashier,Blue Collar - fixed
L0314083531,Employed (full-time),Castemar Saport,Office staff (low- medium),Technical/White Collar (Medium)
L0511093701_5272,Self-employed,Cataring,Hotel/food Industry,Contractor
L0408105809,Self-employed,Catring,Hotel/food Industry,Contractor
L0406185138,Self-employed,Catring Contractor,Hotel/food Industry,Contractor
L0412154819,Employed (full-time),Ccd Camra Worker,Office staff (low- medium),Technical/White Collar (Medium)
L0425112146_737B,Self-employed,Cctv All Works,,
L0419150350,Employed (full-time),Cebrication,Manual/Non-Office workers,Blue Collar - mobile
L0228080530,Employed (full-time),Cebrication,Manual/Non-Office workers,Blue Collar - mobile
L0413154818,Self-employed,Cement Bussines,"Shop owner: medical, mobile, vegetable, flower, clothes, others",Miscellaneous Shop Owner (medium)
L0303102221,Employed (full-time),Cement Marketing,Sales person,Technical/White Collar (Medium)
L0413162349,Self-employed,Cement Shop,"Shop owner: medical, mobile, vegetable, flower, clothes, others",Miscellaneous Shop Owner (medium)
L0221131945,Self-employed,Cenima Produsar,,
L0304093249,Employed (full-time),Cenior Asosiat,Semi-Technical staff,Technical/White Collar (High)
L0412153624,Employed (full-time),Center Bay,,
L0304110028,Employed (full-time),Ceo,C-level staff,Technical/White Collar (High)
L0304093104,Employed (full-time),Ceo,C-level staff,Technical/White Collar (High)
L0505154651_0CD7,Employed (full-time),Ceo,C-level staff,Technical/White Collar (Medium)
L0520152733_05AA,Self-employed,Ceo,Business Owner,Businees Owner (high)
L0424141406_642B,Employed (full-time),Cevil Engeenier,Specialized engineers,Technical/White Collar (Medium)
L0418185327,Employed (full-time),Cgi Worker,,
L0422075301_0C01,Employed (full-time),"Chai Point, Tea Shop",Driver/Delivery,Blue Collar - mobile
L0227135908,"Unemployed, not working, disabled or retired",Charch Mastar,Other,Other
L0310085714,Employed (full-time),Chartar Accountant,Accountant,Specialized professions
L0412171034,Employed (full-time),Charted Account,Accountant,Specialized professions
L0422182521_89A6,Employed (full-time),Charted Accoundant In Bsk Company,Accountant,Specialized professions
L0502094708_3C58,Employed (full-time),Charted Accountant,Accountant,Specialized professions
L0515075538_9031,Employed (full-time),Charted Accountent,Accountant,Specialized professions
L0414100821,Employed (full-time),Charted Accountent,Accountant,Specialized professions
L0411092321,Employed (full-time),Charted Accountent,Accountant,Specialized professions
L0519123243_F6C8,Employed (full-time),Chated Accontent,Accountant,Specialized professions
L0505103910_5B3C,Employed (full-time),Chatered Acounat,Accountant,Specialized professions
L0410110703,Self-employed,Check Calection,Bank worker,Technical/White Collar (Medium)
L0424122417_2473,Employed (full-time),Cheques &Metrials Collect To Give Engineering Office,Field worker,Blue Collar - mobile
L0412182327,Employed (full-time),Ci Il Contractor,Contract workers,Contractor
L0418080318,Employed (full-time),Civel Enjnear,Specialized engineers,Technical/White Collar (High)
L0513162332_CC0C,Self-employed,Civil Contract,Contract workers,Contractor
L0502162050_4957,Employed (full-time),Civil Contract,Contract workers,Contractor
L0420165559,Self-employed,Civil Contract,Contract workers,Contractor
L0412162826,Employed (full-time),Civil Engineer,Specialized engineers,Technical/White Collar (Medium)
L0508200638_198F,Employed (full-time),Civil Engineer,Specialized engineers,Technical/White Collar (High)
L0502185444_3D7C,Employed (full-time),Civil Enginiyer,Specialized engineers,Technical/White Collar (High)
L0406202326,Self-employed,Civil Advacate,Lawyer,Specialized professions
L0411164134,Employed (full-time),Civil Buliding Contracter,Contract workers,Contractor
L0417190816,Employed (full-time),Civil Contracter,Contract workers,Contractor
L0531145046_FC34,Self-employed,Civil Contracter,Contract workers,Contractor
L0306112700,Employed (full-time),Civil Contractor,Contract workers,Contractor
L0208093631,Employed (full-time),Civil Contractor Self Employed,Contract workers,Contractor
L0314085250,Employed (full-time),Civil Controctor,Contract workers,Contractor
L0224130429,Employed (full-time),Civil Engg,Specialized engineers,Technical/White Collar (Medium)
L0318104056,Employed (full-time),Civil Engginiyar,Specialized engineers,Technical/White Collar (Medium)
L0422182043_2852,Employed (full-time),Civil Engieering,Specialized engineers,Technical/White Collar (High)
L0413183103,Employed (full-time),Civil Engineer,Specialized engineers,Technical/White Collar (Medium)
L0222083828,Employed (full-time),Civil Engineer,Specialized engineers,Technical/White Collar (High)
L0306092459,Employed (full-time),Civil Engineer,Specialized engineers,Technical/White Collar (Medium)
L0407201158,Self-employed,Civil Engineer,Specialized engineers,Technical/White Collar (High)
L0421165004,Employed (full-time),Civil Engineer,Specialized engineers,Technical/White Collar (High)
L0224093244,Student,Civil Engineer 2Nd Year,Student,Student
L0505150319_0BE4,"Unemployed, not working, disabled or retired",Civil Engineer Retired,Other,Other
L0504081251_196C,Employed (full-time),Civil Engineeyar,Specialized engineers,Technical/White Collar (High)
L0408123620,Employed (full-time),Civil Engineeyar,Specialized engineers,Technical/White Collar (High)
L0410101347,Employed (full-time),Civil Engineeyar,Specialized engineers,Technical/White Collar (Medium)
L0424181129_6741,Employed (full-time),Civil Engneer,Specialized engineers,Technical/White Collar (Medium)
L0410184700,Self-employed,Civil Surveyor,Office staff (low- medium),Technical/White Collar (Medium)
L0220195215,Employed (full-time),Civil Work,Office staff (low- medium),Technical/White Collar (Medium)
L0224170908,Employed (full-time),Civil Work,Office staff (low- medium),Technical/White Collar (Medium)
L0424160232_D51E,Employed (full-time),Civil Work,Office staff (low- medium),Technical/White Collar (Medium)
L0424170750_63AE,Employed (full-time),Civil Work,Office staff (low- medium),Technical/White Collar (Medium)
L0427145300_D36C,Employed (full-time),Claint Manajer,Manager,Technical/White Collar (High)
L0502085035_208F,Employed (full-time),Clarck,Office staff (low- medium),Technical/White Collar (Medium)
L0421103936,Employed (full-time),Clarck,Office staff (low- medium),Technical/White Collar (Medium)
L0414093253,Employed (full-time),Clarck,Office staff (low- medium),Technical/White Collar (Medium)
L0429091941_EE94,Employed (full-time),Clarck,Office staff (low- medium),Technical/White Collar (Medium)
L0523162104_4CC0,Employed (full-time),Clark,Office staff (low- medium),Technical/White Collar (Medium)
L0427094000_175C,Employed (full-time),Clark,Office staff (low- medium),Technical/White Collar (Medium)
L0417174951,Employed (full-time),"Clarke , Private",Office staff (low- medium),Technical/White Collar (Medium)
L0418091541,Employed (full-time),Clasor,,
L0222083601,Self-employed,Class Shop And Piting Work,"Shop owner: medical, mobile, vegetable, flower, clothes, others",Miscellaneous Shop Owner (medium)
L0506172616_B451,Government employee,Clerk,,
L0406102723,Government employee,Clerk,Office staff (low- medium),Technical/White Collar (Medium)
L0310184735,Employed (full-time),Clinic,,
L0520170259_A65D,Self-employed,Cloth Retailer,"Shop owner: medical, mobile, vegetable, flower, clothes, others",Miscellaneous Shop Owner (medium)
L0513151839_80D1,Self-employed,Cloth Business,"Shop owner: medical, mobile, vegetable, flower, clothes, others",Miscellaneous Shop Owner (medium)
L0426105515_DDB1,Employed (full-time),Cloth Shop,Manual/Non-Office workers,Blue Collar - fixed
L0519162736_D6DC,Self-employed,Cloth Store,"Shop owner: medical, mobile, vegetable, flower, clothes, others",Miscellaneous Shop Owner (medium)
L0505164320_B3D7,Self-employed,Cloth Store,"Shop owner: medical, mobile, vegetable, flower, clothes, others",Miscellaneous Shop Owner (medium)
L0419143037,Employed (full-time),Cloth Worker,Manual/Non-Office workers,Blue Collar - fixed
L0529155329_2C6D,Employed (full-time),Co Adneter,,
L0303114223,Employed (full-time),Co Foundar,,
L0418140057,Employed (full-time),Co Operative Society,,
L0503124203_F646,Employed (full-time),Co Ordinator In Corporate Office,Office staff (low- medium),Technical/White Collar (Medium)
L0220164859,Self-employed,Cocker,,
L0420145724,Employed (full-time),Codineter,Office staff (low- medium),Technical/White Collar (Medium)
L0410152931,Employed (full-time),Coffeday Manager,Office staff (low- medium),Technical/White Collar (Medium)
L0413184546,Self-employed,Coffee Shop Owner,Business Owner,Businees Owner (high)
L0504124458_D6FC,Government employee,Cole,Government employee,Technical/White Collar (High)
L0529152751_EB10,Employed (full-time),Collection,,
L0408163432,Employed (full-time),Collection,,
L0429092659_249A,Employed (full-time),Colleg Adim Staf,Office staff (low- medium),Technical/White Collar (Medium)
L0427113718_A5CF,Employed (full-time),College Lachar,Teacher/Lecturer,Specialized professions
L0418153241,Employed (full-time),College Lacharar,Teacher/Lecturer,Specialized professions
L0425102838_9AC6,Employed (full-time),College Lecture,Teacher/Lecturer,Specialized professions
L0421185017,Employed (full-time),Commercial,,
L0302081909,Employed (full-time),Comp Suparvisar,Supervisor,Technical/White Collar (Medium)
L0517121734_22EB,Employed (full-time),Compani Diravar,Driver/Delivery,Blue Collar - mobile
L0422093134_EF4F,Employed (full-time),Compani Draiwar,Driver/Delivery,Blue Collar - mobile
L0413120057,DK/NR,Company,,
L0302152356,Employed (full-time),Company Driver,Driver/Delivery,Blue Collar - mobile
L0408183503,Employed (full-time),Company Manager,Manager,Technical/White Collar (Medium)
L0411155231,Employed (full-time),Company Owner,,
L0207113215,Employed (full-time),Company Worker,,
L0518091333_1161,Employed (full-time),Complain Managear,Office staff (low- medium),Technical/White Collar (Medium)
L0523143001_485E,Self-employed,"Compny M,D",C-level staff,Technical/White Collar (High)
L0505093436_C932,Employed (full-time),Compny Nali Emply Adre Yavad Anta Helila,,
L0515141650_A556,Employed (full-time),Compny Work,,
L0509103805_06E1,Employed (full-time),Compny Worker,,
L0520121358_B0E6,Employed (full-time),Computar Apretar,Office staff (low- medium),Technical/White Collar (Medium)
L0503091811_5261,Employed (full-time),Computat Programar,Software Engineers and developers,Technical/White Collar (High)
L0410082657,Self-employed,Compute Management,,
L0513192010_9C9D,Employed (full-time),Computer Operater,Office staff (low- medium),Technical/White Collar (Medium)
L0407202728,Student,Computer Engineer,Student,Student
L0426182437_7D02,Employed (full-time),Computer Hardware Network,,
L0426150856_762E,Employed (full-time),Computer Operater,Office staff (low- medium),Technical/White Collar (Medium)
L0509174754_8131,Employed (full-time),Computer Operater,Office staff (low- medium),Technical/White Collar (Medium)
L0524130713_D9E1,Employed (full-time),Computer Operator,Office staff (low- medium),Technical/White Collar (Medium)
L0412161620,Student,Computer Science Engineer,Student,Student
L0413160832,Student,Computer Scince,Student,Student
L0508165016_3D82,Self-employed,Computer Service,Office staff (low- medium),Technical/White Collar (Medium)
L0522123140_8F34,Employed (full-time),Computer Work,,
L0408171640,Employed (full-time),Concentrix Sapport,Office staff (low- medium),Technical/White Collar (Medium)
L0411104714,DK/NR,Consalt,,
L0505183342_BB3D,Employed (full-time),Consaltant,,
L0506165728_6AE0,Employed (full-time),Consaltant,,
L0517102147_22D1,DK/NR,Consaltant,,
L0512173341_ED27,Self-employed,Consaltant,,
L0506183414_84F2,Employed (full-time),Consaltant,,
L0223095319,Self-employed,Consaltent,,
L0602093050_FEEF,Employed (full-time),Consaltent,,
L0311120432,Employed (full-time),Consaltent,,
L0519120002_70D4,Employed (full-time),Consaltent,,
L0513094122_40A9,Employed (full-time),Consaltent,,
L0404101402,"Unemployed, not working, disabled or retired",Consaltent,,
L0425115603_0F55,Employed (full-time),Consaltent,,
L0209101915,Employed (full-time),Consaltent,,
L0427101444_9FA2,Employed (full-time),Consaltent Suparvisar,Semi-Technical staff,Technical/White Collar (High)
L0414111706,Self-employed,Consart,,
L0412080318,Self-employed,Consart,,
L0410103041,Self-employed,Consart,,
L0302181646,Employed (full-time),Consltance,,
L0206193403,Employed (full-time),Consoltent Manager,,
L0425171846_A3D8,Self-employed,Constctruction,Building/Construction,Miscellaneous Shop Owner (medium)
L0421124516,Self-employed,Constracions Own Business,Building/Construction,Businees Owner (high)
L0524155820_5F84,Self-employed,Construction,Building/Construction,Miscellaneous Shop Owner (medium)
L0204110727,Self-employed,Construction,Building/Construction,Businees Owner (high)
L0506162905_3306,Employed (full-time),Construction,Building/Construction,Contractor
L0406192409,Self-employed,Construction,Building/Construction,Miscellaneous Shop Owner (medium)
L0516175451_57E8,Self-employed,Construction,Building/Construction,Miscellaneous Shop Owner (medium)
L0302105920,Employed (full-time),Construction,Building/Construction,Contractor
L0516174028_2989,Employed (full-time),Construction Engineer,Specialized engineers,Technical/White Collar (High)
L0426102614_4565,Employed (full-time),Construction Work,Building/Construction,Contractor
L0503092918_521A,Employed (full-time),Construction Work,Building/Construction,Contractor
L0424101423_12D1,Employed (full-time),Construction Work,Building/Construction,Contractor
L0303091724,Employed (full-time),Constructure,Building/Construction,Contractor
L0413192549,Self-employed,Constrution,Building/Construction,Miscellaneous Shop Owner (medium)
L0220191739,Other,Constuction,Building/Construction,Contractor
L0410173832,Self-employed,Consultancey,,
L0411164158,Employed (full-time),Consultancey Recurrent,,
L0227093341,Employed (full-time),Consultant,,
L0524160155_24A6,Self-employed,Consultant,,
L0227101637,Employed (full-time),Consultant,,
L0309093151,Employed (full-time),Consultant,,
L0418153707,Employed (full-time),Consultent At Ernst And Young,Semi-Technical staff,Technical/White Collar (High)
L0314191740,Employed (full-time),Consulting,,
L0428090236_DD6D,Employed (full-time),Consw,,
L0602132417_A22E,Employed (full-time),Contract Work,Contract workers,Contractor
L0518110056_09BD,Employed (full-time),Contract Work,Contract workers,Contractor
L0301092328,Employed (full-time),Contractar,Contract workers,Contractor
L0610101650_76EB,Employed (full-time),Contractor,Contract workers,Contractor
L0208084657,Employed (full-time),Contractor,Contract workers,Contractor
L0523081310_4674,Employed (full-time),Contractor,Contract workers,Contractor
L0505181646_B477,Self-employed,Contractor,Contract workers,Contractor
L0309104034,Self-employed,Contractor,Contract workers,Contractor
L0518122033_B03F,Employed (full-time),Contractor,Contract workers,Contractor
L0529164148_D114,Self-employed,Contractr,Contract workers,Contractor
L0419090314,Employed (full-time),Contractr,Contract workers,Contractor
L0424110336_C59D,Self-employed,Contrcat,Contract workers,Contractor
L0617104714_2F77,Self-employed,Controctor,Contract workers,Contractor
L0615090900_2EBD,Self-employed,Controctor,Contract workers,Contractor
L0206195351,Employed (full-time),Cooking,Hotel/food Industry,Blue Collar - fixed
L0516120658_117A,Employed (full-time),Copmani Managear,Manager,Technical/White Collar (High)
L0426105404_5248,Employed (full-time),Corfantar,Manual/Non-Office workers,Blue Collar - mobile
L0522110436_7441,Employed (full-time),Coriar Dipartment,Driver/Delivery,Blue Collar - mobile
L0220083839,Employed part-time,Corier Boy,Driver/Delivery,Blue Collar - mobile
L0221095818,Employed (full-time),Corpanter,Manual/Non-Office workers,Blue Collar - mobile
L0224091142,Employed (full-time),Corpanter,Manual/Non-Office workers,Blue Collar - mobile
L0316085355,Employed (full-time),Corpenter,Manual/Non-Office workers,Blue Collar - mobile
L0412202048,Self-employed,Corpenter,Manual/Non-Office workers,Blue Collar - mobile
L0505192910_EA11,Employed (full-time),Corporater,Office staff (low- medium),Blue Collar - fixed
L0328083952,Employed (full-time),Corporation Drivar,Driver/Delivery,Blue Collar - mobile
L0523175138_E166,Employed (full-time),Costamer Exitetive,Office staff (low- medium),Technical/White Collar (Medium)
L0426171152_C3F1,Employed (full-time),Courier,Driver/Delivery,Blue Collar - mobile
L0428170536_7ED5,Employed (full-time),Courier,Driver/Delivery,Blue Collar - mobile
L0422134341_2F6C,Employed (full-time),Coustemer Support Associated,Office staff (low- medium),Technical/White Collar (Medium)
L0511151430_8375,Employed (full-time),Credit Manager,Manager,Technical/White Collar (High)
L0427171126_B8CC,Employed (full-time),Crsher Mining,,
L0424113958_4D35,Employed (full-time),Csa Reliance Smart,,
L0314153705,Employed (full-time),Custmer Excutive,Office staff (low- medium),Technical/White Collar (Medium)
L0412175017,Employed (full-time),Custmer Service Exective,Office staff (low- medium),Technical/White Collar (Medium)
L0511163139_9294,Employed (full-time),Customer Service,,
L0410113026,Employed (full-time),Customer Care In Cera,Office staff (low- medium),Technical/White Collar (Medium)
L0227091912,Employed (full-time),Customer Relation Officer,Office staff (low- medium),Technical/White Collar (Medium)
L0418163230,Employed (full-time),Cvl Service Work,Office staff (low- medium),Technical/White Collar (Medium)
L0410110307,Employed (full-time),D,,
L0221175734,Student,D,Student,Student
L0331095703,Employed (full-time),D Group,,
L0515160518_4E1E,Self-employed,Dsa For Bank,,
L0220094110,Self-employed,Dairy Product,"Shop owner: medical, mobile, vegetable, flower, clothes, others",Miscellaneous Shop Owner (medium)
L0422165605_6378,Employed (full-time),Data Analysis,Semi-Technical staff,Technical/White Collar (Medium)
L0516103023_8896,Employed (full-time),Data Antry,Office staff (low- medium),Technical/White Collar (Medium)
L0516093509_8E36,Employed (full-time),Data Bese Coardineter,Office staff (low- medium),Technical/White Collar (Medium)
L0612134129_886D,Employed (full-time),Data Entry,Office staff (low- medium),Technical/White Collar (Medium)
L0422184004_B71F,Employed (full-time),Data Entry,Office staff (low- medium),Technical/White Collar (Medium)
L0523185904_1FB0,Employed (full-time),Data Entry,Office staff (low- medium),Technical/White Collar (Medium)
L0313170828,Employed (full-time),Data Operter,Office staff (low- medium),Technical/White Collar (Medium)
L0420173208,Self-employed,Data Research,Semi-Technical staff,Technical/White Collar (High)
L0513085556_52AC,Employed (full-time),Deesin Enigneer,Specialized engineers,Technical/White Collar (Medium)
L0224175229,Student,Degree,Student,Student
L0301092956,Student,Degree,Student,Student
L0220115129,Student,Degree 2Nd Year,Student,Student
L0209083055,Student,Degree Final Year,Student,Student
L0525103515_DA90,Employed (full-time),Dejoainar,Other,Specialized professions
L0221110827,Employed (full-time),Delivery Boy,Driver/Delivery,Blue Collar - mobile
L0412104526,Employed (full-time),Delivery Boy,Driver/Delivery,Blue Collar - mobile
L0304104912,Employed (full-time),Delivery Incharger,Driver/Delivery,Blue Collar - mobile
L0306101917,Employed (full-time),Delivery Lead,Driver/Delivery,Blue Collar - mobile
L0313100349,Employed (full-time),Delvery Exqutive,Driver/Delivery,Blue Collar - mobile
L0308152735,Student,Dental,Student,Student
L0306163831,Student,Dental,Student,Student
L0512175343_FDF2,Employed (full-time),Dental Doctor,Doctor,Specialized professions
L0517115040_2AC5,Employed (full-time),Dental Doctor,Doctor,Specialized professions
L0518175746_9421,Employed (full-time),Dental Doctor,Doctor,Specialized professions
L0427180035_A7A5,Employed (full-time),Deputy Commissioner,Government employee,Technical/White Collar (Medium)
L0419160103,Employed (full-time),Deputy Manager,Manager,Technical/White Collar (Medium)
L0506174402_4BB5,Employed (full-time),Deputy Manager,Manager,Technical/White Collar (High)
L0417200423,Government employee,Deputy Manager,Manager,Technical/White Collar (High)
L0406203532,Employed part-time,Deputy Manager In Kmf,Manager,Technical/White Collar (High)
L0328094557,Self-employed,Desainar,Other,Specialized professions
L0227094203,Self-employed,Desainer,Other,Specialized professions
L0410163300,Employed (full-time),Desianer,Other,Specialized professions
L0511184730_1F01,Employed (full-time),Design Engineer,Specialized engineers,Technical/White Collar (High)
L0313173857,Employed (full-time),Design Engineer,Specialized engineers,Technical/White Collar (Medium)
L0425102633_A999,Employed (full-time),Design Engineering,Specialized engineers,Technical/White Collar (Medium)
L0503100102_46D2,Employed (full-time),Designer,Other,Specialized professions
L0509090756_F825,Employed (full-time),Designer,Other,Specialized professions
L0428084145_D152,Employed (full-time),Designer,Other,Specialized professions
L0523105709_FC8A,Employed (full-time),Designer,Other,Specialized professions
L0220183309,Employed (full-time),Designer,Other,Specialized professions
L0224151743,Employed (full-time),Desiner,Other,Specialized professions
L0426092855_548D,Self-employed,Desining,Other,Specialized professions
L0427172237_28B1,Employed (full-time),Desktop Enginear,Specialized engineers,Technical/White Collar (Medium)
L0417203219,Employed (full-time),Devalopmeng Manager In It,Manager,Technical/White Collar (High)
L0425113330_3470,Self-employed,Developer,Software Engineers and developers,Technical/White Collar (High)
L0602172259_8EF8,Employed (full-time),Developers,Software Engineers and developers,Technical/White Collar (Medium)
L0422170734_1F4C,Government employee,Devlopment Assitent In Govt,Government employee,Technical/White Collar (High)
L0425101634_89E5,Employed (full-time),Dgm,,
L0302083946,Employed (full-time),Dgm,,
L0518091103_9F1F,Employed (full-time),Dgm,,
L0509120713_48A4,Employed (full-time),Di,,
L0427160524_D847,DK/NR,Didnt Ask For Ge Went Hurry,,
L0508171641_CBE4,Employed (full-time),Digain Manager,Manager,Technical/White Collar (Medium)
L0519111635_0AF7,Employed (full-time),Digital Printing,,
L0503195037_4A82,Employed (full-time),Digitel Marketing,Semi-Technical staff,Technical/White Collar (Medium)
L0517094601_C031,Employed (full-time),Digold Office Worker,Semi-Technical staff,Technical/White Collar (Medium)
L0426163234_5E19,Student,Digree,Student,Student
L0420110324,Employed (full-time),Dijanar,Other,Specialized professions
L0504122852_50CA,Employed (full-time),Dijaniyar,Other,Specialized professions
L0424082124_D798,Employed (full-time),Dilevari,Driver/Delivery,Blue Collar - mobile
L0422173228_01AC,Employed (full-time),Dilvery Exucative,Driver/Delivery,Blue Collar - mobile
L0411105747,Self-employed,Dint Share Designation Pls,,
L0411082802,Student,Diplomo Computer Since,Student,Student
L0424130317_0553,Student,Diplomo Engineer,Student,Student
L0418120402,Student,Diplomo Engineer,Student,Student
L0220155038,Employed (full-time),Directer,C-level staff,Technical/White Collar (Medium)
L0421162458,Self-employed,Directer Of Conctraction Company,Building/Construction,Miscellaneous Shop Owner (medium)
L0207095758,Self-employed,Director,C-level staff,Technical/White Collar (High)
L0518164108_D777,Employed (full-time),Director,C-level staff,Technical/White Collar (High)
L0522165832_47C3,Employed (full-time),Director,C-level staff,Technical/White Collar (Medium)
L0309103031,Self-employed,Director Of His Own Compny,Business Owner,Businees Owner (high)
L0422155806_C29E,Self-employed,Director Of Own Bussiness,Business Owner,Businees Owner (high)
L0421183312,Self-employed,Director Of Stationery,Business Owner,Miscellaneous Shop Owner (medium)
L0413080557,Employed (full-time),Disain Engineeyar,Specialized engineers,Technical/White Collar (Medium)
L0227090330,Employed (full-time),Disainer,Other,Specialized professions
L0303092304,Student,Disainer Engineer,Student,Student
L0524181216_3E80,Employed (full-time),Diseal Mechanic,Manual/Non-Office workers,Blue Collar - fixed
L0504115855_6794,Self-employed,Diseining Canstrection,Building/Construction,Businees Owner (high)
L0419164627,Employed (full-time),Disgner,Other,Specialized professions
L0320082220,Employed (full-time),Dissinar,Other,Specialized professions
L0220170720,Employed (full-time),Distributer,,
L0302090736,Employed (full-time),Distrubuter,,
L0208092426,Employed (full-time),Ditrubutor,,
L0421180741,Employed (full-time),Dizener,Other,Specialized professions
L0417182241,DK/NR,Dk,,
L0408191326,DK/NR,Dk,,
L0418175126,DK/NR,Dk,,
L0413171446,DK/NR,Dk,,
L0419161522,DK/NR,Dk,,
L0414193946,DK/NR,Dk,,
L0418152326,DK/NR,Dk,,
L0412162508,DK/NR,Dk,,
L0407193040,DK/NR,Dk,,
L0422190550_1124,DK/NR,Dk,,
L0419150808,DK/NR,Dk,,
L0417194505,DK/NR,Dk,,
L0417203640,DK/NR,Dk,,
L0418183505,Self-employed,Dk,,
L0410162205,DK/NR,Dk,,
L0420192257,Employed (full-time),Dk,,
L0420182633,DK/NR,Dk,,
L0410204307,DK/NR,Dk,,
L0422204514_1F82,DK/NR,Dk,,
L0424191548_E1D1,Employed (full-time),Dk,,
L0419091813,Employed (full-time),Dnt,,
L0417122011,Employed (full-time),Dnt,,
L0417124705,Employed (full-time),Dnt,,
L0412085046,DK/NR,Dnt Ask,,
L0425104523_EE45,DK/NR,Dnt Ask,,
L0411110913,Employed part-time,Dnt No,,
L0419104319,Employed (full-time),Dnt No,,
L0417124059,Employed (full-time),Dnt No,,
L0424101513_0571,Student,Dnt No,Student,Student
L0419094627,Employed (full-time),Dnt No,,
L0418104207,DK/NR,Dnt No,,
L0413112149,Self-employed,Dnt No,,
L0411081126,Employed part-time,Dnt No,,
L0419093138,DK/NR,Dnt Tell,,
L0419113118,DK/NR,Dnt Tell,,
L0418081004,DK/NR,Dnt Tell,,
L0417131344,DK/NR,Dnt Tell,,
L0511112815_571B,Employed (full-time),Do,,
L0420190433,Government employee,Do Not Job,,
L0513195803_5EBE,Self-employed,Docter,Doctor,Specialized professions
L0410193224,Employed (full-time),Docter,Doctor,Specialized professions
L0412131553,Employed (full-time),Docter,Doctor,Specialized professions
L0419185502,Employed (full-time),Docter,Doctor,Specialized professions
L0316093322,Employed (full-time),Doctor,Doctor,Specialized professions
L0427113205_CA31,Employed (full-time),Doctor,Doctor,Specialized professions
L0530105648_4243,Employed (full-time),Doctor,Doctor,Specialized professions
L0323133738,Employed (full-time),Doctor,Doctor,Specialized professions
L0422154812_94B2,Employed (full-time),Doctor,Doctor,Specialized professions
L0524183824_6218,Employed (full-time),Doctor,Doctor,Specialized professions
